,terms,country,date
34500,gt,France,2020-01-26
34501,mikequindazzi,France,2020-01-26
34502,#coronarvirus,France,2020-01-26
34503,#china,France,2020-01-26
34504,#wuhancoronavirus,France,2020-01-26
34505,#wuhancoronavirusoutbreak,France,2020-01-26
34506,#chinacoronavirus,France,2020-01-26
34507,#wuhan,France,2020-01-26
34508,#coronoavirus,France,2020-01-26
34509,#coronarovirus,France,2020-01-26
34510,#h5n1,France,2020-01-26
34511,outbreak,France,2020-01-26
34512,14,France,2020-01-26
34513,258,France,2020-01-26
34514,eighth,France,2020-01-26
34515,no1,France,2020-01-26
34516,#4ir,France,2020-01-26
34517,#payments,France,2020-01-26
34518,preexisting,France,2020-01-26
34519,deaths,France,2020-01-26
34520,boston,France,2020-01-26
34521,motive,France,2020-01-26
34522,witnesses,France,2020-01-26
34523,yung,France,2020-01-26
34524,ago,France,2020-01-26
34525,like,France,2020-01-26
34526,#zerohedge,France,2020-01-26
34527,304,France,2020-01-26
34528,french,France,2020-01-26
34529,insertions,France,2020-01-26
34530,s,France,2020-01-26
34531,just,France,2020-01-26
34532,claimed,France,2020-01-26
34533,#twitter,France,2020-01-26
34534,sun,France,2020-01-26
34535,coronavirus,France,2020-01-26
34536,banned,France,2020-01-26
34537,recorded,France,2020-01-26
34538,illness,France,2020-01-26
34539,380,France,2020-01-26
34540,suspend,France,2020-01-26
34541,help,France,2020-01-26
34542,300,France,2020-01-26
34543,airbus,France,2020-01-26
34544,chinese,France,2020-01-26
34545,confirmed,France,2020-01-26
34546,penalty,France,2020-01-26
34547,stars,France,2020-01-26
34548,#chinavirus,France,2020-01-26
34549,going,France,2020-01-26
34550,ethnicity,France,2020-01-26
34551,bioweapon,France,2020-01-26
34552,mortality,France,2020-01-26
34553,chosen,France,2020-01-26
34554,lassa,France,2020-01-26
34555,witness,France,2020-01-26
34556,nyt,France,2020-01-26
34557,#coronarivus,France,2020-01-26
34558,calculate,France,2020-01-26
34559,liverpool,France,2020-01-26
34560,t,France,2020-01-26
34561,#coronaoutbreak,France,2020-01-26
34562,suddenly,France,2020-01-26
34563,#coronavirus,France,2020-01-26
34564,appeal,France,2020-01-26
34565,restrict,France,2020-01-26
34566,ncov,France,2020-01-26
34567,recovered,France,2020-01-26
34568,process,France,2020-01-26
